LECROYWM813Zi	51496	Waveform
Segments	1	SegmentSize	4002
Segment	TrigTime	TimeSinceSegment1
#1	30-Nov-2018 17:24:49	0                 
Time	Ampl
-5.002001e-008	0.0213135
-4.999501e-008	0.0385742
-4.997001e-008	0.0320068
-4.994501e-008	0.0281494
-4.992001e-008	0.0219727
-4.989501e-008	0.0201172
-4.987001e-008	0.02229
-4.984501e-008	0.0170166
-4.982001e-008	0.0231934
-4.979501e-008	0.0279297
-4.977001e-008	0.0166504
-4.974501e-008	0.01875
-4.972001e-008	0.0236816
-4.969501e-008	0.019458
-4.967001e-008	0.0289063
-4.964501e-008	0.0342774
-4.962001e-008	0.0296875
-4.959501e-008	0.0270264
-4.957001e-008	0.0265381
-4.954501e-008	0.0238037
-4.952001e-008	0.00935059
-4.949501e-008	0.0130371
-4.947001e-008	0.0235352
-4.944501e-008	0.014624
-4.942001e-008	0.0233399
-4.939501e-008	0.0291748
-4.937001e-008	0.0191162
-4.934501e-008	0.0297119
-4.932001e-008	0.0302246
-4.929501e-008	0.0179932
-4.927001e-008	0.0279053
-4.924501e-008	0.0332031
-4.922001e-008	0.0301758
-4.919501e-008	0.0275147
-4.917001e-008	0.0159668
-4.914501e-008	0.0203125
-4.912001e-008	0.0255615
-4.909501e-008	0.0206543
-4.907001e-008	0.0243164
-4.904501e-008	0.0271973
-4.902001e-008	0.0370117
-4.899501e-008	0.0354736
-4.897001e-008	0.0228272
-4.894501e-008	0.0299072
-4.892001e-008	0.0291748
-4.889501e-008	0.0176514
-4.887001e-008	0.0177246
-4.884501e-008	0.0225586
-4.882001e-008	0.0287354
-4.879501e-008	0.0269043
-4.877001e-008	0.0165039
-4.874501e-008	0.0206543
-4.872001e-008	0.0263672
-4.869501e-008	0.0242676
-4.867001e-008	0.0272705
-4.864501e-008	0.0214844
-4.862001e-008	0.023584
-4.859501e-008	0.0331543
-4.857001e-008	0.0306152
-4.854501e-008	0.0274658
-4.852001e-008	0.0194824
-4.849501e-008	0.0261231
-4.847001e-008	0.037915
-4.844501e-008	0.0236816
-4.842001e-008	0.0173828
-4.839501e-008	0.0202149
-4.837001e-008	0.0201904
-4.834501e-008	0.0222168
-4.832001e-008	0.00903321
-4.829501e-008	0.0134766
-4.827001e-008	0.0302246
-4.824501e-008	0.0153076
-4.822001e-008	0.0139404
-4.819501e-008	0.0221436
-4.817001e-008	0.0124756
-4.814501e-008	0.0102051
-4.812001e-008	0.00703126
-4.809501e-008	0.0107422
-4.807001e-008	0.0221436
-4.804501e-008	0.0280762
-4.802001e-008	0.0278076
-4.799501e-008	0.0174316
-4.797001e-008	0.0205322
-4.794501e-008	0.0307129
-4.792001e-008	0.0220947
-4.789501e-008	0.00793458
-4.787001e-008	0.00795899
-4.784501e-008	0.0196777
-4.782001e-008	0.027832
-4.779501e-008	0.0258057
-4.777001e-008	0.0183838
-4.774501e-008	0.0166748
-4.772001e-008	0.0186279
-4.769501e-008	0.0182373
-4.767001e-008	0.0218994
-4.764501e-008	0.0278565
-4.762001e-008	0.0240479
-4.759501e-008	0.0162598
-4.757001e-008	0.0249268
-4.754501e-008	0.029834
-4.752001e-008	0.0202393
-4.749501e-008	0.0235352
-4.747001e-008	0.024292
-4.744501e-008	0.0181397
-4.742001e-008	0.0246094
-4.739501e-008	0.0318359
-4.737001e-008	0.032666
-4.734501e-008	0.0203369
-4.732001e-008	0.0121826
-4.729501e-008	0.0200928
-4.727001e-008	0.0142578
-4.724501e-008	0.012793
-4.722001e-008	0.0231445
-4.719501e-008	0.0208496
-4.717001e-008	0.0230957
-4.714501e-008	0.02229
-4.712001e-008	0.00327149
-4.709501e-008	0.00615235
-4.707001e-008	0.0287598
-4.704501e-008	0.0233154
-4.702001e-008	0.0145996
-4.699501e-008	0.0237061
-4.697001e-008	0.0218018
-4.694501e-008	0.0212158
-4.692001e-008	0.0306641
-4.689501e-008	0.0330566
-4.687001e-008	0.0205322
-4.684501e-008	0.00561524
-4.682001e-008	0.0164063
-4.679501e-008	0.0327881
-4.677001e-008	0.0250488
-4.674501e-008	0.0165772
-4.672001e-008	0.0192871
-4.669501e-008	0.0230957
-4.667001e-008	0.0321045
-4.664501e-008	0.0323975
-4.662001e-008	0.0186035
-4.659501e-008	0.0179199
-4.657001e-008	0.0246094
-4.654501e-008	0.0156982
-4.652001e-008	0.00146485
-4.649501e-008	0.00903321
-4.647001e-008	0.0273682
-4.644501e-008	0.0261475
-4.642001e-008	0.015625
-4.639501e-008	0.0134277
-4.637001e-008	0.0165039
-4.634501e-008	0.0160889
-4.632001e-008	0.0193359
-4.629501e-008	0.0227051
-4.627001e-008	0.015625
-4.624501e-008	0.0197022
-4.622001e-008	0.0290283
-4.619501e-008	0.0281006
-4.617001e-008	0.0243408
-4.614501e-008	0.0218262
-4.612001e-008	0.0220459
-4.609501e-008	0.0209961
-4.607001e-008	0.0255371
-4.604501e-008	0.0287354
-4.602001e-008	0.0217774
-4.599501e-008	0.0195801
-4.597001e-008	0.0252197
-4.594501e-008	0.0329346
-4.592001e-008	0.0224854
-4.589501e-008	0.00476075
-4.587001e-008	0.0157959
-4.584501e-008	0.0286133
-4.582001e-008	0.0227783
-4.579501e-008	0.0191162
-4.577001e-008	0.0170166
-4.574501e-008	0.0159912
-4.572001e-008	0.0204346
-4.569501e-008	0.0216309
-4.567001e-008	0.0216065
-4.564501e-008	0.0260254
-4.562001e-008	0.023584
-4.559501e-008	0.0222412
-4.557001e-008	0.0253174
-4.554501e-008	0.011084
-4.552001e-008	0.0097168
-4.549501e-008	0.0217285
-4.547001e-008	0.0130371
-4.544501e-008	0.0178711
-4.542001e-008	0.0255127
-4.539501e-008	0.0192139
-4.537001e-008	0.0323242
-4.534501e-008	0.0348389
-4.532001e-008	0.0103272
-4.529501e-008	-0.000903313
-4.527001e-008	0.0065918
-4.524501e-008	0.0122559
-4.522001e-008	0.0165772
-4.519501e-008	0.0237793
-4.517001e-008	0.0241455
-4.514501e-008	0.0185547
-4.512001e-008	0.0195557
-4.509501e-008	0.0274414
-4.507001e-008	0.0185059
-4.504501e-008	0.00551759
-4.502001e-008	0.0218262
-4.499501e-008	0.0307129
-4.497001e-008	0.023999
-4.494501e-008	0.0317383
-4.492001e-008	0.0360108
-4.489501e-008	0.0303223
-4.487001e-008	0.0245117
-4.484501e-008	0.0218994
-4.482001e-008	0.0170899
-4.479501e-008	0.0165772
-4.477001e-008	0.0313965
-4.474501e-008	0.0268311
-4.472001e-008	0.00817872
-4.469501e-008	0.0119873
-4.467001e-008	0.0193359
-4.464501e-008	0.0150147
-4.462001e-008	0.00913087
-4.459501e-008	0.0135742
-4.457001e-008	0.0266113
-4.454501e-008	0.0298828
-4.452001e-008	0.0181641
-4.449501e-008	0.0166748
-4.447001e-008	0.0281494
-4.444501e-008	0.0223145
-4.442001e-008	0.0153076
-4.439501e-008	0.0231934
-4.437001e-008	0.0261963
-4.434501e-008	0.0197266
-4.432001e-008	0.0179932
-4.429501e-008	0.0240967
-4.427001e-008	0.0194824
-4.424501e-008	0.0164551
-4.422001e-008	0.0162598
-4.419501e-008	0.0115723
-4.417001e-008	0.018457
-4.414501e-008	0.0131836
-4.412001e-008	0.00646973
-4.409501e-008	0.014624
-4.407001e-008	0.0136231
-4.404501e-008	0.0182861
-4.402001e-008	0.0225586
-4.399501e-008	0.014624
-4.397001e-008	0.0183106
-4.394501e-008	0.0228027
-4.392001e-008	0.0114746
-4.389501e-008	0.0052002
-4.387001e-008	0.0168457
-4.384501e-008	0.025708
-4.382001e-008	0.0182129
-4.379501e-008	0.0121826
-4.377001e-008	0.0186279
-4.374501e-008	0.0246094
-4.372001e-008	0.0155029
-4.369501e-008	0.00983887
-4.367001e-008	0.0217041
-4.364501e-008	0.0227539
-4.362001e-008	0.017749
-4.359501e-008	0.0123779
-4.357001e-008	0.0119629
-4.354501e-008	0.0353272
-4.352001e-008	0.0363281
-4.349501e-008	0.0188965
-4.347001e-008	0.0182373
-4.344501e-008	0.019165
-4.342001e-008	0.0274658
-4.339501e-008	0.0260254
-4.337001e-008	0.0165039
-4.334501e-008	0.0260742
-4.332001e-008	0.0163086
-4.329501e-008	-0.00183105
-4.327001e-008	0.02146
-4.324501e-008	0.033374
-4.322001e-008	0.019751
-4.319501e-008	0.025708
-4.317001e-008	0.0322022
-4.314501e-008	0.0361084
-4.312001e-008	0.0262451
-4.309501e-008	0.00717774
