# LECROYWM813Zi	51496	Waveform
# Segments	1	SegmentSize	4002
# Segment	TrigTime	TimeSinceSegment1
# #1	30-Nov-2018 17:19:07	0                 
# Time	Ampl
-5.00099e-008	0.0167725
-4.99849e-008	0.030542
-4.99599e-008	0.0324463
-4.99349e-008	0.0226563
-4.99099e-008	0.0211426
-4.98849e-008	0.0266846
-4.98599e-008	0.0185303
-4.98349e-008	0.0161133
-4.98099e-008	0.0342529
-4.97849e-008	0.037793
-4.97599e-008	0.0287354
-4.97349e-008	0.0177734
-4.97099e-008	0.00183106
-4.96849e-008	0.00261231
-4.96599e-008	0.0170166
-4.96349e-008	0.0201416
-4.96099e-008	0.0115479
-4.95849e-008	0.0187744
-4.95599e-008	0.0304199
-4.95349e-008	0.013916
-4.95099e-008	0.0106445
-4.94849e-008	0.0297363
-4.94599e-008	0.025293
-4.94349e-008	0.020752
-4.94099e-008	0.0275391
-4.93849e-008	0.0254639
-4.93599e-008	0.0305664
-4.93349e-008	0.0259033
-4.93099e-008	0.0132568
-4.92849e-008	0.0271973
-4.92599e-008	0.0319824
-4.92349e-008	0.0172607
-4.92099e-008	0.0155762
-4.91849e-008	0.0193115
-4.91599e-008	0.0251221
-4.91349e-008	0.0255615
-4.91099e-008	0.0176514
-4.90849e-008	0.0239502
-4.90599e-008	0.0287109
-4.90349e-008	0.0187988
-4.90099e-008	0.0200684
-4.89849e-008	0.0241699
-4.89599e-008	0.0167481
-4.89349e-008	0.0142578
-4.89099e-008	0.0196533
-4.88849e-008	0.0227051
-4.88599e-008	0.0188232
-4.88349e-008	0.0170899
-4.88099e-008	0.0187256
-4.87849e-008	0.0178467
-4.87599e-008	0.0180664
-4.87349e-008	0.0165772
-4.87099e-008	0.0195557
-4.86849e-008	0.0156982
-4.86599e-008	0.00957032
-4.86349e-008	0.0265381
-4.86099e-008	0.0239258
-4.85849e-008	0.00927735
-4.85599e-008	0.0266602
-4.85349e-008	0.0277588
-4.85099e-008	0.011377
-4.84849e-008	0.0205811
-4.84599e-008	0.0294434
-4.84349e-008	0.0224121
-4.84099e-008	0.0224609
-4.83849e-008	0.0244141
-4.83599e-008	0.0179932
-4.83349e-008	0.0178467
-4.83099e-008	0.0212158
-4.82849e-008	0.0217774
-4.82599e-008	0.0203857
-4.82349e-008	0.0131104
-4.82099e-008	0.0102295
-4.81849e-008	0.02146
-4.81599e-008	0.0291748
-4.81349e-008	0.0161865
-4.81099e-008	0.0168945
-4.80849e-008	0.0304688
-4.80599e-008	0.0235107
-4.80349e-008	0.0234619
-4.80099e-008	0.0226318
-4.79849e-008	0.00688477
-4.79599e-008	0.0102295
-4.79349e-008	0.0196289
-4.79099e-008	0.0153565
-4.78849e-008	0.0156006
-4.78599e-008	0.0193604
-4.78349e-008	0.0182373
-4.78099e-008	0.0193848
-4.77849e-008	0.0156982
-4.77599e-008	0.0159424
-4.77349e-008	0.0265625
-4.77099e-008	0.0239014
-4.76849e-008	0.0179688
-4.76599e-008	0.0194824
-4.76349e-008	0.0168701
-4.76099e-008	0.0173584
-4.75849e-008	0.0278076
-4.75599e-008	0.0274902
-4.75349e-008	0.012915
-4.75099e-008	0.014917
-4.74849e-008	0.0207275
-4.74599e-008	0.0136231
-4.74349e-008	0.0132568
-4.74099e-008	0.0170166
-4.73849e-008	0.0210938
-4.73599e-008	0.0278565
-4.73349e-008	0.0270508
-4.73099e-008	0.0202149
-4.72849e-008	0.0168945
-4.72599e-008	0.0176758
-4.72349e-008	0.0260498
-4.72099e-008	0.0259277
-4.71849e-008	0.0173828
-4.71599e-008	0.0229736
-4.71349e-008	0.0121826
-4.71099e-008	-0.00270995
-4.70849e-008	0.0116699
-4.70599e-008	0.0200928
-4.70349e-008	0.0183594
-4.70099e-008	0.0151367
-4.69849e-008	0.0205078
-4.69599e-008	0.0323486
-4.69349e-008	0.0148438
-4.69099e-008	-0.000659172
-4.68849e-008	0.0106201
-4.68599e-008	0.0261475
-4.68349e-008	0.0334229
-4.68099e-008	0.0147461
-4.67849e-008	0.00478516
-4.67599e-008	0.0191162
-4.67349e-008	0.0116943
-4.67099e-008	0.0052002
-4.66849e-008	0.0235107
-4.66599e-008	0.0275391
-4.66349e-008	0.0112305
-4.66099e-008	0.00712891
-4.65849e-008	0.0229004
-4.65599e-008	0.0284668
-4.65349e-008	0.0126465
-4.65099e-008	0.00708009
-4.64849e-008	0.0202149
-4.64599e-008	0.0247803
-4.64349e-008	0.0226807
-4.64099e-008	0.0281006
-4.63849e-008	0.033252
-4.63599e-008	0.0297608
-4.63349e-008	0.0154785
-4.63099e-008	0.013916
-4.62849e-008	0.0195068
-4.62599e-008	0.0120606
-4.62349e-008	0.0188477
-4.62099e-008	0.0214111
-4.61849e-008	0.0176025
-4.61599e-008	0.0294678
-4.61349e-008	0.0237061
-4.61099e-008	0.0121582
-4.60849e-008	0.0168213
-4.60599e-008	0.0255859
-4.60349e-008	0.0261475
