LECROYWM813Zi	51496	Waveform
Segments	1	SegmentSize	4002
Segment	TrigTime	TimeSinceSegment1
#1	30-Nov-2018 17:17:48	0                 
Time	Ampl
-5.001469e-008	0.0232666
-4.998969e-008	0.0196289
-4.996469e-008	0.01521
-4.993969e-008	0.023999
-4.991469e-008	0.0278809
-4.988969e-008	0.0204102
-4.986469e-008	0.0237549
-4.983969e-008	0.0205566
-4.981469e-008	0.0111572
-4.978969e-008	0.0177734
-4.976469e-008	0.0156494
-4.973969e-008	0.0100342
-4.971469e-008	0.0181885
-4.968969e-008	0.0181397
-4.966469e-008	0.0158447
-4.963969e-008	0.021582
-4.961469e-008	0.0283936
-4.958969e-008	0.0289795
-4.956469e-008	0.0233154
-4.953969e-008	0.0274414
-4.951469e-008	0.0260254
-4.948969e-008	0.0108643
-4.946469e-008	0.0119629
-4.943969e-008	0.0143555
-4.941469e-008	0.0121582
-4.938969e-008	0.0266113
-4.936469e-008	0.0293701
-4.933969e-008	0.0198242
-4.931469e-008	0.0296631
-4.928969e-008	0.0371582
-4.926469e-008	0.0226318
-4.923969e-008	0.0151123
-4.921469e-008	0.0219971
-4.918969e-008	0.0202393
-4.916469e-008	0.0190186
-4.913969e-008	0.029541
-4.911469e-008	0.0351074
-4.908969e-008	0.0315186
-4.906469e-008	0.0316895
-4.903969e-008	0.0280029
-4.901469e-008	0.024292
-4.898969e-008	0.0305176
-4.896469e-008	0.0162598
-4.893969e-008	0.00791016
-4.891469e-008	0.0292236
-4.888969e-008	0.0316406
-4.886469e-008	0.0202637
-4.883969e-008	0.0197266
-4.881469e-008	0.0243897
-4.878969e-008	0.026294
-4.876469e-008	0.0212891
-4.873969e-008	0.0260254
-4.871469e-008	0.0315674
-4.868969e-008	0.0152588
-4.866469e-008	0.0111572
-4.863969e-008	0.0302246
-4.861469e-008	0.0343262
-4.858969e-008	0.0259766
-4.856469e-008	0.0071045
-4.853969e-008	-0.00405273
-4.851469e-008	0.0165772
-4.848969e-008	0.027832
-4.846469e-008	0.0253662
-4.843969e-008	0.0242188
-4.841469e-008	0.019458
-4.838969e-008	0.0218506
-4.836469e-008	0.0243652
-4.833969e-008	0.0260254
-4.831469e-008	0.01875
-4.828969e-008	-0.00458984
-4.826469e-008	-0.00693359
-4.823969e-008	0.0134766
-4.821469e-008	0.023877
-4.818969e-008	0.0303955
-4.816469e-008	0.0310791
-4.813969e-008	0.03125
-4.811469e-008	0.0332275
-4.808969e-008	0.0114014
-4.806469e-008	0.00822755
-4.803969e-008	0.0282227
-4.801469e-008	0.0268311
-4.798969e-008	0.0218994
-4.796469e-008	0.020752
-4.793969e-008	0.0277588
-4.791469e-008	0.0303467
-4.788969e-008	0.0219727
-4.786469e-008	0.0276367
-4.783969e-008	0.0281983
-4.781469e-008	0.0167236
-4.778969e-008	0.0152588
-4.776469e-008	0.0231445
-4.773969e-008	0.027002
-4.771469e-008	0.0259277
-4.768969e-008	0.0204834
-4.766469e-008	0.019165
-4.763969e-008	0.0302246
-4.761469e-008	0.0294434
-4.758969e-008	0.0249512
-4.756469e-008	0.0266113
-4.753969e-008	0.0229492
-4.751469e-008	0.029419
-4.748969e-008	0.0297852
-4.746469e-008	0.0202637
-4.743969e-008	0.0275879
-4.741469e-008	0.029834
-4.738969e-008	0.0163574
-4.736469e-008	0.0143066
-4.733969e-008	0.0216797
-4.731469e-008	0.0181397
-4.728969e-008	0.00993653
-4.726469e-008	0.0167969
-4.723969e-008	0.0232422
-4.721469e-008	0.0175293
-4.718969e-008	0.0208252
-4.716469e-008	0.0227783
-4.713969e-008	0.0292969
-4.711469e-008	0.0381836
-4.708969e-008	0.0113037
-4.706469e-008	-0.00280761
-4.703969e-008	0.0149658
-4.701469e-008	0.0205322
-4.698969e-008	0.0301514
-4.696469e-008	0.0332031
-4.693969e-008	0.0185059
-4.691469e-008	0.00864259
-4.688969e-008	0.00720216
-4.686469e-008	0.0178467
-4.683969e-008	0.0170654
-4.681469e-008	0.0101074
-4.678969e-008	0.0217285
-4.676469e-008	0.0197022
-4.673969e-008	0.0162842
-4.671469e-008	0.0298828
-4.668969e-008	0.0204102
-4.666469e-008	0.0105225
-4.663969e-008	0.0238037
-4.661469e-008	0.0263428
-4.658969e-008	0.014624
-4.656469e-008	0.00842286
-4.653969e-008	0.0195313
-4.651469e-008	0.0219482
-4.648969e-008	0.0166504
-4.646469e-008	0.0298096
-4.643969e-008	0.0290039
-4.641469e-008	0.0244141
-4.638969e-008	0.0334473
-4.636469e-008	0.0245606
-4.633969e-008	0.0198242
-4.631469e-008	0.0275879
-4.628969e-008	0.0188232
-4.626469e-008	0.0137451
-4.623969e-008	0.0181641
-4.621469e-008	0.011499
-4.618969e-008	0.0170654
-4.616469e-008	0.0295166
-4.613969e-008	0.0244873
-4.611469e-008	0.0189453
-4.608969e-008	0.0129395
-4.606469e-008	0.0122559
-4.603969e-008	0.0266358
-4.601469e-008	0.0308838
-4.598969e-008	0.0210449
-4.596469e-008	0.0152832
-4.593969e-008	0.0159424
-4.591469e-008	0.0246338
-4.588969e-008	0.0295654
-4.586469e-008	0.0225342
-4.583969e-008	0.0278809
-4.581469e-008	0.029834
-4.578969e-008	0.0230713
-4.576469e-008	0.0309815
-4.573969e-008	0.0328613
-4.571469e-008	0.025415
-4.568969e-008	0.0182861
-4.566469e-008	0.0225342
-4.563969e-008	0.0290039
-4.561469e-008	0.0204102
-4.558969e-008	0.0191895
-4.556469e-008	0.0242676
-4.553969e-008	0.0331055
-4.551469e-008	0.0324219
-4.548969e-008	0.0159668
-4.546469e-008	0.0137451
-4.543969e-008	0.0148926
-4.541469e-008	0.0197754
-4.538969e-008	0.0251465
-4.536469e-008	0.013208
-4.533969e-008	0.0130127
-4.531469e-008	0.0221924
-4.528969e-008	0.022876
-4.526469e-008	0.0234375
-4.523969e-008	0.0191162
-4.521469e-008	0.0193604
-4.518969e-008	0.0234375
-4.516469e-008	0.021582
-4.513969e-008	0.02854
-4.511469e-008	0.0230225
-4.508969e-008	0.00246583
-4.506469e-008	0.00944825
-4.503969e-008	0.0176758
-4.501469e-008	0.00632325
-4.498969e-008	0.00278321
-4.496469e-008	0.00229493
-4.493969e-008	0.0209717
-4.491469e-008	0.0427734
-4.488969e-008	0.026416
-4.486469e-008	0.0224854
-4.483969e-008	0.0276367
