LECROYWM813Zi	51496	Waveform
Segments	1	SegmentSize	4002
Segment	TrigTime	TimeSinceSegment1
#1	30-Nov-2018 17:13:15	0                 
Time	Ampl
-5.002024e-008	0.0189209
-4.999524e-008	0.0130371
-4.997024e-008	0.0123779
-4.994524e-008	0.0314209
-4.992024e-008	0.0335693
-4.989524e-008	0.0179199
-4.987024e-008	0.022168
-4.984524e-008	0.0279541
-4.982024e-008	0.026001
-4.979524e-008	0.027002
-4.977024e-008	0.025415
-4.974524e-008	0.0316406
-4.972024e-008	0.0332764
-4.969524e-008	0.0247315
-4.967024e-008	0.0217774
-4.964524e-008	0.0195313
-4.962024e-008	0.0236328
-4.959524e-008	0.0227783
-4.957024e-008	0.0235352
-4.954524e-008	0.0294678
-4.952024e-008	0.0100586
-4.949524e-008	0.00698243
-4.947024e-008	0.0229981
-4.944524e-008	0.0172607
-4.942024e-008	0.0241943
-4.939524e-008	0.0260986
-4.937024e-008	0.0145264
-4.934524e-008	0.0295166
-4.932024e-008	0.0213623
-4.929524e-008	0.00688477
-4.927024e-008	0.0297608
-4.924524e-008	0.0301514
-4.922024e-008	0.0271484
-4.919524e-008	0.0326904
-4.917024e-008	0.0166504
-4.914524e-008	0.0144043
-4.912024e-008	0.0197998
-4.909524e-008	0.0192139
-4.907024e-008	0.0139893
-4.904524e-008	0.00778809
-4.902024e-008	0.0229492
-4.899524e-008	0.0295166
-4.897024e-008	0.0212647
-4.894524e-008	0.0305176
-4.892024e-008	0.0323242
-4.889524e-008	0.0191895
-4.887024e-008	0.0207764
-4.884524e-008	0.0241943
-4.882024e-008	0.0207031
-4.879524e-008	0.0173828
-4.877024e-008	0.015625
-4.874524e-008	0.0239014
-4.872024e-008	0.0238037
-4.869524e-008	0.0203613
-4.867024e-008	0.0201904
-4.864524e-008	0.0122315
-4.862024e-008	0.019165
-4.859524e-008	0.017627
-4.857024e-008	0.0129639
-4.854524e-008	0.0286865
-4.852024e-008	0.0207031
-4.849524e-008	0.0137695
-4.847024e-008	0.0246826
-4.844524e-008	0.018457
-4.842024e-008	0.0205811
-4.839524e-008	0.0279541
-4.837024e-008	0.0210449
-4.834524e-008	0.0317139
-4.832024e-008	0.0381592
-4.829524e-008	0.0182373
-4.827024e-008	0.0209717
-4.824524e-008	0.0340332
-4.822024e-008	0.0276856
-4.819524e-008	0.0187988
-4.817024e-008	0.0118164
-4.814524e-008	0.0142822
-4.812024e-008	0.0125244
-4.809524e-008	0.00822755
-4.807024e-008	0.0208008
-4.804524e-008	0.0246338
-4.802024e-008	0.0174316
-4.799524e-008	0.0174072
-4.797024e-008	0.0265137
-4.794524e-008	0.0306397
-4.792024e-008	0.0184815
-4.789524e-008	0.017749
-4.787024e-008	0.0266602
-4.784524e-008	0.0271973
-4.782024e-008	0.0279053
-4.779524e-008	0.0187988
-4.777024e-008	0.0229492
-4.774524e-008	0.0323975
