# LECROYWM813Zi	51496	Waveform
# Segments	1	SegmentSize	4002
# Segment	TrigTime	TimeSinceSegment1
# #1	30-Nov-2018 17:24:58	0                 
# Time	Ampl
-5.00027e-008	0.0170654
-4.99777e-008	0.029419
-4.99527e-008	0.0338379
-4.99277e-008	0.0227783
-4.99027e-008	0.0151611
-4.98777e-008	0.0237549
-4.98527e-008	0.0271484
-4.98277e-008	0.0202881
-4.98027e-008	0.0302002
-4.97777e-008	0.0310791
-4.97527e-008	0.00795899
-4.97277e-008	0.00893555
-4.97027e-008	0.0194336
-4.96777e-008	0.0098877
-4.96527e-008	0.0159424
-4.96277e-008	0.0253174
-4.96027e-008	0.0207275
-4.95777e-008	0.0224854
-4.95527e-008	0.0203857
-4.95277e-008	0.0215332
-4.95027e-008	0.0222656
-4.94777e-008	0.0133301
-4.94527e-008	0.0158447
-4.94277e-008	0.0260498
-4.94027e-008	0.0287109
-4.93777e-008	0.0191162
-4.93527e-008	0.0215332
-4.93277e-008	0.033667
-4.93027e-008	0.0293701
-4.92777e-008	0.0228516
-4.92527e-008	0.0127686
-4.92277e-008	0.0112793
-4.92027e-008	0.0195313
-4.91777e-008	0.0158691
-4.91527e-008	0.0162109
-4.91277e-008	0.0260498
-4.91027e-008	0.0295166
-4.90777e-008	0.0145752
-4.90527e-008	0.0156738
-4.90277e-008	0.0366211
-4.90027e-008	0.0201172
-4.89777e-008	0.000903328
-4.89527e-008	0.0144775
-4.89277e-008	0.0235107
-4.89027e-008	0.0188965
-4.88777e-008	0.0102051
-4.88527e-008	0.0171875
-4.88277e-008	0.0286377
-4.88027e-008	0.0238037
-4.87777e-008	0.0274658
-4.87527e-008	0.0298584
-4.87277e-008	0.0251953
-4.87027e-008	0.0258545
-4.86777e-008	0.0147461
-4.86527e-008	0.00905762
-4.86277e-008	0.0145264
-4.86027e-008	0.0186035
-4.85777e-008	0.0338135
-4.85527e-008	0.0362061
-4.85277e-008	0.0222656
-4.85027e-008	0.0214356
-4.84777e-008	0.0202149
-4.84527e-008	0.0169678
-4.84277e-008	0.0183106
-4.84027e-008	0.0155029
-4.83777e-008	0.0216553
-4.83527e-008	0.0316895
-4.83277e-008	0.0342041
-4.83027e-008	0.0218262
-4.82777e-008	0.0060547
-4.82527e-008	0.0240479
-4.82277e-008	0.026709
-4.82027e-008	0.000268562
-4.81777e-008	0.0144043
-4.81527e-008	0.0323731
-4.81277e-008	0.0318848
-4.81027e-008	0.030127
-4.80777e-008	0.00251466
-4.80527e-008	-0.00283202
-4.80277e-008	0.0218506
-4.80027e-008	0.0268555
-4.79777e-008	0.0246826
-4.79527e-008	0.0108154
