LECROYWM813Zi	51496	Waveform
Segments	1	SegmentSize	4002
Segment	TrigTime	TimeSinceSegment1
#1	30-Nov-2018 17:24:46	0                 
Time	Ampl
-5.00223e-008	0.0215088
-4.99973e-008	0.0169922
-4.99723e-008	0.0156006
-4.99473e-008	0.0103516
-4.99223e-008	0.0195801
-4.98973e-008	0.0104492
-4.98723e-008	0.000170906
-4.98473e-008	0.0189941
-4.98223e-008	0.0188477
-4.97973e-008	0.00446778
-4.97723e-008	0.0123535
-4.97473e-008	0.0248779
-4.97223e-008	0.0227539
-4.96973e-008	0.0159424
-4.96723e-008	0.015918
-4.96473e-008	0.0219971
-4.96223e-008	0.0222168
-4.95973e-008	0.0161133
-4.95723e-008	0.0131104
-4.95473e-008	0.0115479
-4.95223e-008	0.0134277
-4.94973e-008	0.0122803
-4.94723e-008	0.0126465
-4.94473e-008	0.0189697
-4.94223e-008	0.0180664
-4.93973e-008	0.0274414
-4.93723e-008	0.0307129
-4.93473e-008	0.0147705
-4.93223e-008	0.0239502
-4.92973e-008	0.0342285
-4.92723e-008	0.0193604
-4.92473e-008	0.0158447
-4.92223e-008	0.0276856
-4.91973e-008	0.024707
-4.91723e-008	0.00915528
-4.91473e-008	0.0191162
-4.91223e-008	0.023169
-4.90973e-008	0.0100098
-4.90723e-008	0.0223877
-4.90473e-008	0.015332
-4.90223e-008	0.00585938
-4.89973e-008	0.0246094
-4.89723e-008	0.0236084
-4.89473e-008	0.0265137
-4.89223e-008	0.028833
-4.88973e-008	0.014209
-4.88723e-008	0.013794
-4.88473e-008	0.0107666
-4.88223e-008	0.00893555
-4.87973e-008	0.0142578
-4.87723e-008	0.00412598
-4.87473e-008	0.0120117
-4.87223e-008	0.0284912
-4.86973e-008	0.0125
-4.86723e-008	0.0149414
-4.86473e-008	0.0281006
-4.86223e-008	0.0191162
-4.85973e-008	0.0254639
-4.85723e-008	0.0153809
-4.85473e-008	-0.00375976
-4.85223e-008	0.0151611
-4.84973e-008	0.024707
-4.84723e-008	0.00998536
-4.84473e-008	0.00783692
-4.84223e-008	0.0244629
-4.83973e-008	0.0330566
-4.83723e-008	0.0273438
-4.83473e-008	0.0190186
-4.83223e-008	0.0121094
-4.82973e-008	0.0168213
-4.82723e-008	0.0175537
-4.82473e-008	0.0159912
-4.82223e-008	0.0211182
-4.81973e-008	0.0186035
-4.81723e-008	0.00847169
-4.81473e-008	0.00825196
-4.81223e-008	0.0314697
-4.80973e-008	0.0301514
-4.80723e-008	0.00764161
-4.80473e-008	0.0098877
-4.80223e-008	0.015332
-4.79973e-008	0.0117188
-4.79723e-008	-0.0027832
-4.79473e-008	0.00878907
-4.79223e-008	0.036499
-4.78973e-008	0.0263916
-4.78723e-008	0.0245117
-4.78473e-008	0.0276367
-4.78223e-008	0.0152832
-4.77973e-008	0.0260986
-4.77723e-008	0.0340332
-4.77473e-008	0.0197022
-4.77223e-008	0.0224365
-4.76973e-008	0.031665
-4.76723e-008	0.0118408
-4.76473e-008	0.00217286
-4.76223e-008	0.0233399
-4.75973e-008	0.0364746
-4.75723e-008	0.0354492
-4.75473e-008	0.0274658
-4.75223e-008	0.0169922
-4.74973e-008	0.0135254
-4.74723e-008	0.0199219
-4.74473e-008	0.035669
-4.74223e-008	0.0361816
-4.73973e-008	0.0175781
-4.73723e-008	0.0141846
-4.73473e-008	0.0183594
-4.73223e-008	0.01604
-4.72973e-008	0.0182373
-4.72723e-008	0.0212158
-4.72473e-008	0.0207764
-4.72223e-008	0.0227539
-4.71973e-008	0.0251709
-4.71723e-008	0.00852052
-4.71473e-008	0.00175782
-4.71223e-008	0.022168
-4.70973e-008	0.0255371
-4.70723e-008	0.0220459
-4.70473e-008	0.0205078
-4.70223e-008	0.0199707
-4.69973e-008	0.0266113
-4.69723e-008	0.0125488
-4.69473e-008	0.00402833
-4.69223e-008	0.0178223
-4.68973e-008	0.0204346
-4.68723e-008	0.00954591
-4.68473e-008	0.00979005
-4.68223e-008	0.0307129
-4.67973e-008	0.0342285
-4.67723e-008	0.0177979
-4.67473e-008	0.0164551
-4.67223e-008	0.0175049
-4.66973e-008	0.0162109
-4.66723e-008	0.0256592
-4.66473e-008	0.0297363
-4.66223e-008	0.0265381
-4.65973e-008	0.0242188
-4.65723e-008	0.0155762
-4.65473e-008	0.0161621
-4.65223e-008	0.0253418
-4.64973e-008	0.0165527
-4.64723e-008	0.00637208
-4.64473e-008	0.0143799
-4.64223e-008	0.0240967
-4.63973e-008	0.0213379
-4.63723e-008	0.00969239
-4.63473e-008	0.0081543
-4.63223e-008	0.0224609
-4.62973e-008	0.0248047
-4.62723e-008	0.00805665
-4.62473e-008	0.00551759
-4.62223e-008	0.0208252
-4.61973e-008	0.0260498
-4.61723e-008	0.0221191
-4.61473e-008	0.0221924
-4.61223e-008	0.0234131
-4.60973e-008	0.0163086
-4.60723e-008	0.0123047
-4.60473e-008	0.0220947
-4.60223e-008	0.0247315
-4.59973e-008	0.0217041
-4.59723e-008	0.0199707
-4.59473e-008	0.01604
-4.59223e-008	0.019043
-4.58973e-008	0.0169922
-4.58723e-008	0.00908204
-4.58473e-008	0.0118652
-4.58223e-008	0.02229
-4.57973e-008	0.0224121
-4.57723e-008	0.0133789
-4.57473e-008	0.0168457
-4.57223e-008	0.0194824
-4.56973e-008	0.016919
-4.56723e-008	0.0280762
-4.56473e-008	0.0311035
-4.56223e-008	0.0197266
-4.55973e-008	0.0186035
-4.55723e-008	0.0118897
-4.55473e-008	-0.00158691
-4.55223e-008	0.00986329
-4.54973e-008	0.0257568
-4.54723e-008	0.0173828
-4.54473e-008	0.00798341
-4.54223e-008	0.0172119
-4.53973e-008	0.0234619
-4.53723e-008	0.0133545
-4.53473e-008	0.0114746
-4.53223e-008	0.0268311
-4.52973e-008	0.0250488
-4.52723e-008	0.0107422
-4.52473e-008	0.0219971
-4.52223e-008	0.0336914
-4.51973e-008	0.0139893
-4.51723e-008	-0.00270995
-4.51473e-008	0.0120606
-4.51223e-008	0.0210205
-4.50973e-008	0.0174561
-4.50723e-008	0.0266602
-4.50473e-008	0.0133057
-4.50223e-008	0.00656739
-4.49973e-008	0.0303711
-4.49723e-008	0.0229004
-4.49473e-008	0.0131836
-4.49223e-008	0.0209229
-4.48973e-008	0.0177246
-4.48723e-008	0.019043
-4.48473e-008	0.0169434
-4.48223e-008	0.0136963
-4.47973e-008	0.0144531
-4.47723e-008	0.0103272
-4.47473e-008	0.0192139
-4.47223e-008	0.0230225
-4.46973e-008	0.0140869
-4.46723e-008	0.0182129
-4.46473e-008	0.0158447
-4.46223e-008	0.020459
-4.45973e-008	0.0342041
-4.45723e-008	0.0105469
-4.45473e-008	0.00307618
-4.45223e-008	0.0266358
-4.44973e-008	0.0112549
-4.44723e-008	-0.00109863
-4.44473e-008	0.0174805
-4.44223e-008	0.0275391
-4.43973e-008	0.0309082
-4.43723e-008	0.0196777
-4.43473e-008	0.0084961
-4.43223e-008	0.0239746
-4.42973e-008	0.0364502
-4.42723e-008	0.0279297
-4.42473e-008	0.0173096
-4.42223e-008	0.0234619
-4.41973e-008	0.029541
-4.41723e-008	0.0193604
-4.41473e-008	0.0162109
-4.41223e-008	0.0259522
-4.40973e-008	0.0253662
-4.40723e-008	0.0101807
-4.40473e-008	0.00913087
-4.40223e-008	0.022876
-4.39973e-008	0.0209229
-4.39723e-008	0.00925294
-4.39473e-008	0.00446778
-4.39223e-008	0.00913087
-4.38973e-008	0.0255859
-4.38723e-008	0.0326904
-4.38473e-008	0.0236572
-4.38223e-008	0.0297363
-4.37973e-008	0.0354492
-4.37723e-008	0.021582
-4.37473e-008	0.0230957
-4.37223e-008	0.0283691
-4.36973e-008	0.0253662
-4.36723e-008	0.0276611
-4.36473e-008	0.0121826
-4.36223e-008	0.00495606
-4.35973e-008	0.0213379
-4.35723e-008	0.0255859
-4.35473e-008	0.021582
-4.35223e-008	0.0137207
-4.34973e-008	0.0144775
-4.34723e-008	0.020752
-4.34473e-008	0.0090088
-4.34223e-008	0.0148438
-4.33973e-008	0.0329346
-4.33723e-008	0.0221191
-4.33473e-008	0.0171387
-4.33223e-008	0.0179932
-4.32973e-008	0.00969239
-4.32723e-008	0.0236572
-4.32473e-008	0.0290772
-4.32223e-008	0.0232178
-4.31973e-008	0.0192871
-4.31723e-008	-0.0059082
-4.31473e-008	0.00019532
-4.31223e-008	0.0188721
-4.30973e-008	0.00827637
-4.30723e-008	0.0191406
-4.30473e-008	0.0260742
-4.30223e-008	0.023584
-4.29973e-008	0.0397461
-4.29723e-008	0.0345215
-4.29473e-008	0.0227539
-4.29223e-008	0.0279053
-4.28973e-008	0.0256592
-4.28723e-008	0.0183106
-4.28473e-008	0.00891114
-4.28223e-008	0.00961915
-4.27973e-008	0.0183106
-4.27723e-008	0.00637208
-4.27473e-008	0.00732423
-4.27223e-008	0.0244385
-4.26973e-008	0.0238525
-4.26723e-008	0.0240967
-4.26473e-008	0.0218262
-4.26223e-008	0.0213379
-4.25973e-008	0.0223633
-4.25723e-008	0.0133301
-4.25473e-008	0.0149902
-4.25223e-008	0.014624
-4.24973e-008	0.0205322
-4.24723e-008	0.0192139
-4.24473e-008	0.000610359
-4.24223e-008	0.0269775
-4.23973e-008	0.0385742
-4.23723e-008	0.00754395
-4.23473e-008	0.0225342
-4.23223e-008	0.0446777
-4.22973e-008	0.0350586
-4.22723e-008	0.0260254
-4.22473e-008	0.0141602
-4.22223e-008	0.0124268
-4.21973e-008	0.0214844
-4.21723e-008	0.0187012
-4.21473e-008	0.018457
-4.21223e-008	0.023877
-4.20973e-008	0.0249512
-4.20723e-008	0.0309082
-4.20473e-008	0.0297119
-4.20223e-008	0.0266358
-4.19973e-008	0.0296387
-4.19723e-008	0.0101074
-4.19473e-008	-0.000927727
-4.19223e-008	0.0121826
-4.18973e-008	0.0119629
-4.18723e-008	0.0141846
-4.18473e-008	0.0223145
-4.18223e-008	0.0299072
-4.17973e-008	0.0372559
-4.17723e-008	0.0201904
-4.17473e-008	0.00766602
-4.17223e-008	0.0204834
-4.16973e-008	0.0203125
-4.16723e-008	0.0189941
-4.16473e-008	0.028125
-4.16223e-008	0.0233887
-4.15973e-008	0.0206299
-4.15723e-008	0.0182373
-4.15473e-008	0.0131592
-4.15223e-008	0.0143555
-4.14973e-008	0.00817872
-4.14723e-008	0.0167481
-4.14473e-008	0.0267334
-4.14223e-008	0.0221436
-4.13973e-008	0.0210693
-4.13723e-008	0.0137695
-4.13473e-008	0.0205322
-4.13223e-008	0.0257568
-4.12973e-008	0.00888673
-4.12723e-008	0.0115723
-4.12473e-008	0.0229248
-4.12223e-008	0.0155029
-4.11973e-008	0.0110596
-4.11723e-008	0.0223389
-4.11473e-008	0.0258545
-4.11223e-008	0.0146973
-4.10973e-008	0.0125488
-4.10723e-008	0.0267578
-4.10473e-008	0.0261231
-4.10223e-008	0.0130371
-4.09973e-008	0.0249756
-4.09723e-008	0.023291
-4.09473e-008	0.0126465
-4.09223e-008	0.0289063
-4.08973e-008	0.027124
-4.08723e-008	0.0193848
-4.08473e-008	0.0211182
-4.08223e-008	0.0160645
-4.07973e-008	0.0172852
-4.07723e-008	0.0220947
-4.07473e-008	0.0291748
-4.07223e-008	0.0287354
-4.06973e-008	0.0210693
-4.06723e-008	0.0250488
-4.06473e-008	0.032251
-4.06223e-008	0.026416
-4.05973e-008	0.0124024
-4.05723e-008	0.0122315
-4.05473e-008	0.0221924
-4.05223e-008	0.0224365
-4.04973e-008	0.0252441
-4.04723e-008	0.027832
-4.04473e-008	0.0202393
-4.04223e-008	0.029541
-4.03973e-008	0.0341309
-4.03723e-008	0.0113037
-4.03473e-008	0.0109619
-4.03223e-008	0.0231934
-4.02973e-008	0.0130127
-4.02723e-008	0.0140869
-4.02473e-008	0.024585
-4.02223e-008	0.0143799
-4.01973e-008	0.0107666
-4.01723e-008	0.0189209
-4.01473e-008	0.011499
-4.01223e-008	0.00959473
-4.00973e-008	0.0234375
-4.00723e-008	0.0261475
-4.00473e-008	0.0159424
-4.00223e-008	0.0138428
-3.99973e-008	0.016333
-3.99723e-008	0.00976563
-3.99473e-008	0.0130859
-3.99223e-008	0.0243164
-3.98973e-008	0.0197022
-3.98723e-008	0.0210693
-3.98473e-008	0.0259033
-3.98223e-008	0.0139893
-3.97973e-008	0.0227783
-3.97723e-008	0.031543
-3.97473e-008	0.0137451
-3.97223e-008	0.0176758
-3.96973e-008	0.0302734
-3.96723e-008	0.0284668
-3.96473e-008	0.0133545
-3.96223e-008	0.0034668
-3.95973e-008	0.024585
-3.95723e-008	0.0254639
-3.95473e-008	0.00859376
-3.95223e-008	0.0121826
-3.94973e-008	0.0180908
-3.94723e-008	0.0290039
-3.94473e-008	0.0358887
-3.94223e-008	0.0335449
-3.93973e-008	0.0284912
-3.93723e-008	0.0227539
-3.93473e-008	0.0243897
-3.93223e-008	0.0181397
-3.92973e-008	0.0201904
-3.92723e-008	0.0356445
