0.0000 4.3928 0.2313 4.3928
0.0100 1.5183 0.0757 1.5183
0.0200 1.3596 0.0903 1.3596
0.0300 1.3115 0.0058 1.3115
0.0400 1.6634 0.0105 1.6634
0.0500 0.7704 0.1805 0.7704
0.0600 0.9987 0.0057 0.9987
0.0700 1.1644 0.0683 1.1644
0.0800 1.4758 0.2443 1.4758
0.0900 1.3349 0.3287 1.3349
0.1000 1.2091 0.1359 1.2091
0.1100 1.2273 0.2843 1.2273
0.1200 1.2805 0.0026 1.2805
0.1300 1.6116 0.3733 1.6116
0.1400 1.3217 0.5193 1.3217
0.1500 1.6247 0.4553 1.6247
0.1600 1.4349 0.1238 1.4349
0.1700 1.9162 0.0050 1.9162
0.1800 1.6961 0.0211 1.6961
0.1900 1.5437 0.2523 1.5437
0.2000 1.4166 0.0270 1.4166
0.2099 1.4401 0.1887 1.4401
0.2199 1.3375 0.2916 1.3375
0.2299 1.7956 0.1150 1.7956
0.2399 1.3346 0.0058 1.3346
0.2499 1.3813 0.0060 1.3813
0.2599 1.6633 0.3007 1.6633
0.2699 1.7416 0.1018 1.7416
0.2799 1.6244 0.5257 1.6244
0.2899 1.2844 0.3338 1.2844
0.2999 1.3633 0.1872 1.3633
0.3099 1.6123 0.1892 1.6123
0.3199 1.3821 0.3902 1.3821
0.3299 1.3450 0.2957 1.3450
0.3399 1.7042 0.2766 1.7042
0.3499 1.6321 0.3755 1.6321
0.3599 1.5599 0.3129 1.5599
0.3699 1.4827 0.0051 1.4827
0.3799 1.5174 0.0782 1.5174
0.3899 1.5544 0.0811 1.5544
0.3999 1.5960 0.0064 1.5960
0.4099 1.5728 0.3033 1.5728
0.4199 1.6403 0.1803 1.6403
0.4299 1.6029 0.0741 1.6029
0.4399 1.5842 0.0202 1.5842
0.4499 1.5244 0.0058 1.5244
0.4599 1.4742 0.0245 1.4742
0.4699 1.4416 0.1075 1.4416
0.4799 1.5847 0.1769 1.5847
0.4899 1.5803 0.4475 1.5803
0.4999 1.5251 0.2878 1.5251
0.5099 1.2193 0.0092 1.2193
0.5199 1.5283 0.1511 1.5283
0.5299 1.2431 0.1032 1.2431
0.5399 1.2873 0.2142 1.2873
0.5499 1.4228 0.0057 1.4228
0.5599 1.5006 0.1059 1.5006
0.5699 1.5200 0.2353 1.5200
0.5799 1.5708 0.0826 1.5708
0.5899 1.6649 0.1018 1.6649
0.5999 1.0643 0.0364 1.0643
0.6098 1.5243 0.0554 1.5243
0.6198 1.3904 0.0069 1.3904
0.6298 1.8159 0.2860 1.8159
0.6398 1.3361 0.1539 1.3361
0.6498 1.4095 0.1718 1.4095
0.6598 1.4002 0.0090 1.4002
0.6698 1.1472 0.1095 1.1472
0.6798 0.8418 0.0337 0.8418
0.6898 1.1009 0.1511 1.1009
0.6998 0.9662 0.3230 0.9662
0.7098 1.1914 0.1702 1.1914
0.7198 1.2626 0.0047 1.2626
0.7298 1.2490 0.2431 1.2490
0.7398 1.3196 0.4329 1.3196
0.7498 0.8409 0.0078 0.8409
0.7598 0.9813 0.0076 0.9813
0.7698 1.3686 0.3173 1.3686
0.7798 1.3324 0.0980 1.3324
0.7898 1.3403 0.0953 1.3403
0.7998 1.4286 0.0089 1.4286
0.8098 1.6335 0.0293 1.6335
0.8198 1.5552 0.0657 1.5552
0.8298 1.3309 0.2333 1.3309
0.8398 1.2595 0.1669 1.2595
0.8498 1.2591 0.0429 1.2591
0.8598 1.7279 0.0474 1.7279
0.8698 1.5374 0.3589 1.5374
0.8798 0.7958 0.2799 0.7958
0.8898 0.7806 0.0066 0.7806
0.8998 0.4617 0.0385 0.4617
0.9098 0.6755 0.0857 0.6755
0.9198 0.7426 0.0300 0.7426
0.9298 0.6896 0.0058 0.6896
0.9398 0.5386 0.0931 0.5386
0.9498 0.6875 0.3531 0.6875
0.9598 1.0333 0.0502 1.0333
0.9698 0.6777 0.0061 0.6777
0.9798 0.2621 0.0056 0.2621
0.9898 1.0710 0.4605 1.0710
0.9998 0.7402 0.1049 0.7402
1.0097 0.5795 0.0054 0.5795
1.0197 0.7238 0.0707 0.7238
1.0297 0.9287 0.0050 0.9287
1.0397 0.8713 0.0385 0.8713
1.0497 0.3083 0.0098 0.3083
1.0597 0.9492 0.0385 0.9492
1.0697 0.6186 0.2123 0.6186
1.0797 0.7729 0.3177 0.7729
1.0897 1.0464 0.0729 1.0464
1.0997 0.7695 0.0271 0.7695
1.1097 0.3375 0.0053 0.3375
1.1197 0.8205 0.1374 0.8205
1.1297 0.7722 0.0383 0.7722
1.1397 0.3729 0.4670 0.3729
1.1497 0.5597 0.3604 0.5597
1.1597 0.4793 0.0620 0.4793
1.1697 0.8629 0.0049 0.8629
1.1797 0.5737 0.3626 0.5737
1.1897 0.6665 0.0165 0.6665
1.1997 0.9809 0.1107 0.9809
1.2097 0.2680 0.1243 0.2680
1.2197 0.2583 0.0622 0.2583
1.2297 0.7011 0.6218 0.7011
1.2397 0.8008 0.1452 0.8008
1.2497 0.4281 0.1244 0.4281
1.2597 0.6956 0.0845 0.6956
1.2697 0.5341 0.0836 0.5341
1.2797 0.4245 0.2200 0.4245
