# LECROYWM813Zi	51496	Waveform
# Segments	1	SegmentSize	4002
# Segment	TrigTime	TimeSinceSegment1
# #1	30-Nov-2018 17:25:03	0                 
# Time	Ampl
-5.001591e-008	0.020752
-4.999091e-008	0.0264649
-4.996591e-008	0.0348633
-4.994091e-008	0.031665
-4.991591e-008	0.0241699
-4.989091e-008	0.0282959
-4.986591e-008	0.0152832
-4.984091e-008	0.0179688
-4.981591e-008	0.0306885
-4.979091e-008	0.0205566
-4.976591e-008	0.020166
-4.974091e-008	0.01875
-4.971591e-008	0.0148438
-4.969091e-008	0.0186524
-4.966591e-008	0.0160889
-4.964091e-008	0.0197754
-4.961591e-008	0.0261963
-4.959091e-008	0.026001
-4.956591e-008	0.0310791
-4.954091e-008	0.0340088
-4.951591e-008	0.0201904
-4.949091e-008	0.0135254
-4.946591e-008	0.0216309
-4.944091e-008	0.0225342
-4.941591e-008	0.0215576
-4.939091e-008	0.0176514
-4.936591e-008	0.0171631
-4.934091e-008	0.0255615
-4.931591e-008	0.0269043
-4.929091e-008	0.0308838
-4.926591e-008	0.0305664
-4.924091e-008	0.0217774
-4.921591e-008	0.0204346
-4.919091e-008	0.0220215
-4.916591e-008	0.0256104
-4.914091e-008	0.0165527
-4.911591e-008	0.00869141
-4.909091e-008	0.0175049
-4.906591e-008	0.0132813
-4.904091e-008	0.0140137
-4.901591e-008	0.0217285
-4.899091e-008	0.0133301
-4.896591e-008	0.0121826
-4.894091e-008	0.0186279
-4.891591e-008	0.0196533
-4.889091e-008	0.0182861
-4.886591e-008	0.0216553
-4.884091e-008	0.0288086
-4.881591e-008	0.0250733
-4.879091e-008	0.0198975
-4.876591e-008	0.0195801
-4.874091e-008	0.0088379
-4.871591e-008	0.0123291
-4.869091e-008	0.0329834
-4.866591e-008	0.0260254
-4.864091e-008	0.0127197
-4.861591e-008	0.0180176
-4.859091e-008	0.0230957
-4.856591e-008	0.0164307
-4.854091e-008	0.0071045
-4.851591e-008	0.0278076
-4.849091e-008	0.0354004
-4.846591e-008	0.0112305
-4.844091e-008	0.0138428
-4.841591e-008	0.0192139
-4.839091e-008	0.019043
-4.836591e-008	0.0258545
-4.834091e-008	0.0213867
-4.831591e-008	0.0281738
-4.829091e-008	0.0386231
-4.826591e-008	0.0265137
-4.824091e-008	0.0128418
-4.821591e-008	0.0145996
-4.819091e-008	0.0171631
-4.816591e-008	0.0202637
-4.814091e-008	0.0241211
-4.811591e-008	0.0171387
-4.809091e-008	0.0179443
-4.806591e-008	0.0222656
-4.804091e-008	0.0244141
-4.801591e-008	0.0330811
-4.799091e-008	0.0296631
-4.796591e-008	0.0249756
-4.794091e-008	0.0237793
-4.791591e-008	0.0205566
-4.789091e-008	0.0224365
-4.786591e-008	0.0167236
-4.784091e-008	0.0179199
-4.781591e-008	0.0230713
-4.779091e-008	0.0151123
-4.776591e-008	0.0226563
-4.774091e-008	0.0328858
-4.771591e-008	0.0262695
-4.769091e-008	0.0297363
-4.766591e-008	0.0303955
-4.764091e-008	0.0215088
-4.761591e-008	0.0246582
-4.759091e-008	0.0236572
-4.756591e-008	0.0230225
-4.754091e-008	0.0233887
-4.751591e-008	0.0145996
-4.749091e-008	0.0219482
-4.746591e-008	0.0281983
-4.744091e-008	0.0249024
-4.741591e-008	0.0245117
-4.739091e-008	0.01604
-4.736591e-008	0.0178711
-4.734091e-008	0.0269287
-4.731591e-008	0.0272461
-4.729091e-008	0.023169
-4.726591e-008	0.019043
-4.724091e-008	0.0242188
-4.721591e-008	0.0242432
-4.719091e-008	0.0179932
-4.716591e-008	0.016626
-4.714091e-008	0.0151611
-4.711591e-008	0.0249024
-4.709091e-008	0.0272949
-4.706591e-008	0.0113281
-4.704091e-008	0.0111816
-4.701591e-008	0.0165527
-4.699091e-008	0.0224854
-4.696591e-008	0.0378418
-4.694091e-008	0.0348389
-4.691591e-008	0.0250488
-4.689091e-008	0.0261719
-4.686591e-008	0.026001
-4.684091e-008	0.0254883
-4.681591e-008	0.0305908
-4.679091e-008	0.0336182
